Property_Title,Price,Rate,Bhk,Super_area,Floor,Total_floor
null,null,null,null,null,null,null
null,null,null,null,null,null,null
"2 BHK Flat for Sale in Chandrakamal, Shukrawar Peth, Pune",Rs 1.65 Cr,Rs 13854,2,,,
"2 BHK Flat for Sale in ANP Autograph, Punawale, Pimpri Chinchwad, Pune",Rs 93.3 Lac,Rs 8814,4,,,
"2 BHK Flat for Sale in MJ Opera, Wakad, Pune",Rs 91 Lac,Rs 7718,2,,,
"2 BHK Flat for Sale in The Silver Altair, Ravet, Pimpri Chinchwad, Pune",Rs 91.3 Lac,N/A,2,,,
"3 BHK Flat for Sale in Hermes Paras 3, Kalyani Nagar, Pune",Rs 2.35 Cr,Rs 15542,3,,,
"2 BHK Flat for Sale in Samrajya, Pimple Gurav, Pimpri Chinchwad, Pune",Rs 85 Lac,Rs 7589,3,,,
"3 BHK Flat for Sale in 24K Altura, Baner, Pune",Rs 1.95 Cr,Rs 14192,4,1374,,
"3 BHK Flat for Sale in Ambar Zenith, Viman Nagar, Pune",Rs 2.97 Cr,Rs 15014,3,,,
"3 BHK Flat for Sale in Vision Vanessa, Ravet, Pimpri Chinchwad, Pune",Rs 1.70 Cr,Rs 9208,3,,,
"3 BHK Flat for Sale in Nu Era, Kothrud, Pune",Rs 1.99 Cr,Rs 13105,3,,,
"3 BHK Flat for Sale in Avaneesh, Nigdi, Pimpri Chinchwad, Pune",Rs 1.90 Cr,N/A,3,,,
"2 BHK Flat for Sale in Riverdale Grove, Kharadi, Pune",Rs 1 Cr,Rs 10050,4,,,
"3 BHK Flat for Sale in Verista, Law College Road, Pune",Rs 3.59 Cr,N/A,3,,,
"2 BHK Flat for Sale in Kool Homes Green Valley Phase 2, Bavdhan, Pune",Rs 1.25 Cr,N/A,2,,,
"2 BHK Flat for Sale in Codename TechD, Bhugaon, Bavdhan, Pune",Rs 75 Lac,Rs 7077,2,,,
"2 BHK Flat for Sale in Arbor Vista, Wakad, Pune",Rs 82 Lac,Rs 7869,3,,,
"4 BHK Flat for Sale in Mantra Mirari, Mundhwa, Pune",Rs 2.54 Cr,N/A,4,,,
"3 BHK Flat for Sale in Venkatesh Erandwane Central, Erandwane, Pune",Rs 2.95 Cr,Rs 21470,3,,,
"2 BHK Flat for Sale in Pride World City, Charholi BK, Pune",Rs 71.2 Lac,N/A,2,,,
"2 BHK Flat for Sale in Aqura Pride, Sinhgad Road, Pune",Rs 73 Lac,N/A,2,,,
"2 BHK Flat for Sale in Purva Emerald Bay, Keshav Nagar Mundhwa, Pune",Rs 97 Lac,Rs 8043,2,1206,,
"3 BHK Flat for Sale in Kohinoor Shangrila, Pimpri, Pune",Rs 1.16 Cr,N/A,2,,,
"2 BHK Flat for Sale in Adi Amma Insperia, Rahatani, Pune",Rs 97.2 Lac,Rs 9461,2,,,
"3 BHK Flat for Sale in NYATI EQUINOX, Bavdhan, Pune",Rs 1.42 Cr,Rs 8700,3,,,
"2 BHK Flat for Sale in TCG Cliff Gardens VC Homes, Hinjawadi, Pune",Rs 65.3 Lac,N/A,2,,,
"3 BHK Flat for Sale in Ashiana Malhar, Hinjawadi, Pune",Rs 92.3 Lac,Rs 8829,3,1045,,
"2 BHK Flat for Sale in Sensorium, Hinjawadi, Pune",Rs 89 Lac,N/A,2,,,
"3 BHK Flat for Sale in Dream Elegance, Balewadi, Pune",Rs 1.76 Cr,Rs 10669,3,,,
"2 BHK Flat for Sale in Gagan Aviva, Kesnand, Pune",Rs 42 Lac,Rs 7970,2,,,
"2 BHK Flat for Sale in Chandrakamal, Shukrawar Peth, Pune",Rs 1.65 Cr,Rs 13854,2,,,
"2 BHK Flat for Sale in ANP Autograph, Punawale, Pimpri Chinchwad, Pune",Rs 93.3 Lac,Rs 8814,4,,,
"2 BHK Flat for Sale in MJ Opera, Wakad, Pune",Rs 91 Lac,Rs 7718,2,,,
"2 BHK Flat for Sale in The Silver Altair, Ravet, Pimpri Chinchwad, Pune",Rs 91.3 Lac,N/A,2,,,
"3 BHK Flat for Sale in Hermes Paras 3, Kalyani Nagar, Pune",Rs 2.35 Cr,Rs 15542,3,,,
"2 BHK Flat for Sale in Samrajya, Pimple Gurav, Pimpri Chinchwad, Pune",Rs 85 Lac,Rs 7589,3,,,
"3 BHK Flat for Sale in 24K Altura, Baner, Pune",Rs 1.95 Cr,Rs 14192,4,1374,,
"3 BHK Flat for Sale in Ambar Zenith, Viman Nagar, Pune",Rs 2.97 Cr,Rs 15014,3,,,
"3 BHK Flat for Sale in Vision Vanessa, Ravet, Pimpri Chinchwad, Pune",Rs 1.70 Cr,Rs 9208,3,,,
"3 BHK Flat for Sale in Nu Era, Kothrud, Pune",Rs 1.99 Cr,Rs 13105,3,,,
"3 BHK Flat for Sale in Avaneesh, Nigdi, Pimpri Chinchwad, Pune",Rs 1.90 Cr,N/A,3,,,
"2 BHK Flat for Sale in Riverdale Grove, Kharadi, Pune",Rs 1 Cr,Rs 10050,4,,,
"3 BHK Flat for Sale in Verista, Law College Road, Pune",Rs 3.59 Cr,N/A,3,,,
"2 BHK Flat for Sale in Kool Homes Green Valley Phase 2, Bavdhan, Pune",Rs 1.25 Cr,N/A,2,,,
"2 BHK Flat for Sale in Codename TechD, Bhugaon, Bavdhan, Pune",Rs 75 Lac,Rs 7077,2,,,
"2 BHK Flat for Sale in Arbor Vista, Wakad, Pune",Rs 82 Lac,Rs 7869,3,,,
"4 BHK Flat for Sale in Mantra Mirari, Mundhwa, Pune",Rs 2.54 Cr,N/A,4,,,
"3 BHK Flat for Sale in Venkatesh Erandwane Central, Erandwane, Pune",Rs 2.95 Cr,Rs 21470,3,,,
"2 BHK Flat for Sale in Pride World City, Charholi BK, Pune",Rs 71.2 Lac,N/A,2,,,
"2 BHK Flat for Sale in Aqura Pride, Sinhgad Road, Pune",Rs 73 Lac,N/A,2,,,
"2 BHK Flat for Sale in Purva Emerald Bay, Keshav Nagar Mundhwa, Pune",Rs 97 Lac,Rs 8043,2,1206,,
"3 BHK Flat for Sale in Kohinoor Shangrila, Pimpri, Pune",Rs 1.16 Cr,N/A,2,,,
"2 BHK Flat for Sale in Adi Amma Insperia, Rahatani, Pune",Rs 97.2 Lac,Rs 9461,2,,,
"3 BHK Flat for Sale in NYATI EQUINOX, Bavdhan, Pune",Rs 1.42 Cr,Rs 8700,3,,,
"2 BHK Flat for Sale in TCG Cliff Gardens VC Homes, Hinjawadi, Pune",Rs 65.3 Lac,N/A,2,,,
"3 BHK Flat for Sale in Ashiana Malhar, Hinjawadi, Pune",Rs 92.3 Lac,Rs 8829,3,1045,,
"2 BHK Flat for Sale in Sensorium, Hinjawadi, Pune",Rs 89 Lac,N/A,2,,,
"3 BHK Flat for Sale in Dream Elegance, Balewadi, Pune",Rs 1.76 Cr,Rs 10669,3,,,
"2 BHK Flat for Sale in Gagan Aviva, Kesnand, Pune",Rs 42 Lac,Rs 7970,2,,,
"2 BHK Flat for Sale in Chandrakamal, Shukrawar Peth, Pune",Rs 1.65 Cr,Rs 13854,2,882,,
"2 BHK Flat for Sale in ANP Autograph, Punawale, Pimpri Chinchwad, Pune",Rs 93.3 Lac,Rs 8814,4,846,,
"2 BHK Flat for Sale in MJ Opera, Wakad, Pune",Rs 91 Lac,Rs 7718,2,825,,
"2 BHK Flat for Sale in The Silver Altair, Ravet, Pimpri Chinchwad, Pune",Rs 91.3 Lac,N/A,2,881,,
"3 BHK Flat for Sale in Hermes Paras 3, Kalyani Nagar, Pune",Rs 2.35 Cr,Rs 15542,3,1120,,
"2 BHK Flat for Sale in Samrajya, Pimple Gurav, Pimpri Chinchwad, Pune",Rs 85 Lac,Rs 7589,3,800,,
"3 BHK Flat for Sale in 24K Altura, Baner, Pune",Rs 1.95 Cr,Rs 14192,4,1374,,
"3 BHK Flat for Sale in Ambar Zenith, Viman Nagar, Pune",Rs 2.97 Cr,Rs 15014,3,1414,,
"3 BHK Flat for Sale in Vision Vanessa, Ravet, Pimpri Chinchwad, Pune",Rs 1.70 Cr,Rs 9208,3,1423,,
"3 BHK Flat for Sale in Nu Era, Kothrud, Pune",Rs 1.99 Cr,Rs 13105,3,1130,,
"3 BHK Flat for Sale in Avaneesh, Nigdi, Pimpri Chinchwad, Pune",Rs 1.90 Cr,N/A,3,1199,,
"2 BHK Flat for Sale in Riverdale Grove, Kharadi, Pune",Rs 1 Cr,Rs 10050,4,737,,
"3 BHK Flat for Sale in Verista, Law College Road, Pune",Rs 3.59 Cr,N/A,3,1258,,
"2 BHK Flat for Sale in Kool Homes Green Valley Phase 2, Bavdhan, Pune",Rs 1.25 Cr,N/A,2,955,,
"2 BHK Flat for Sale in Codename TechD, Bhugaon, Bavdhan, Pune",Rs 75 Lac,Rs 7077,2,785,,
"2 BHK Flat for Sale in Arbor Vista, Wakad, Pune",Rs 82 Lac,Rs 7869,3,755,,
"4 BHK Flat for Sale in Mantra Mirari, Mundhwa, Pune",Rs 2.54 Cr,N/A,4,1649,,
"3 BHK Flat for Sale in Venkatesh Erandwane Central, Erandwane, Pune",Rs 2.95 Cr,Rs 21470,3,1057,,
"2 BHK Flat for Sale in Pride World City, Charholi BK, Pune",Rs 71.2 Lac,N/A,2,786,,
"2 BHK Flat for Sale in Aqura Pride, Sinhgad Road, Pune",Rs 73 Lac,N/A,2,610,,
"2 BHK Flat for Sale in Purva Emerald Bay, Keshav Nagar Mundhwa, Pune",Rs 97 Lac,Rs 8043,2,1206,,
"3 BHK Flat for Sale in Kohinoor Shangrila, Pimpri, Pune",Rs 1.16 Cr,N/A,2,1000,,
"2 BHK Flat for Sale in Adi Amma Insperia, Rahatani, Pune",Rs 97.2 Lac,Rs 9461,2,744,,
"3 BHK Flat for Sale in NYATI EQUINOX, Bavdhan, Pune",Rs 1.42 Cr,Rs 8700,3,1213,,
"2 BHK Flat for Sale in TCG Cliff Gardens VC Homes, Hinjawadi, Pune",Rs 65.3 Lac,N/A,2,658,,
"3 BHK Flat for Sale in Ashiana Malhar, Hinjawadi, Pune",Rs 92.3 Lac,Rs 8829,3,1045,,
"2 BHK Flat for Sale in Sensorium, Hinjawadi, Pune",Rs 89 Lac,N/A,2,783,,
"3 BHK Flat for Sale in Dream Elegance, Balewadi, Pune",Rs 1.76 Cr,Rs 10669,3,1223,,
"2 BHK Flat for Sale in Gagan Aviva, Kesnand, Pune",Rs 42 Lac,Rs 7970,2,356,,
